dataset,epsilon,model,accuracy_mean,accuracy_std,n_runs,mia_attack_acc,time,Winner
Synthetic Blobs,0.1,DP-k-means,0.9559999999999998,0.0984863216673034,10,,,DP-GB wins
Synthetic Blobs,0.1,DP-Logistic,0.2,0.027968235951204044,10,,,DP-GB wins
Synthetic Blobs,0.1,DP-Naive Bayes,0.184,0.0890043694308194,10,,,DP-GB wins
Synthetic Blobs,0.1,DP-kNN (k=5),0.36866666666666664,0.05766184950978323,10,,,DP-GB wins
Synthetic Blobs,0.5,Non-private GB,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,0.5,DP-GB One-Ball,1.0,0.0,10,,0.0010523796081542969,DP-GB wins
Synthetic Blobs,0.5,DP-GB Multi-Ball,0.9926666666666668,0.012092238098144692,10,,,DP-GB wins
Synthetic Blobs,0.5,DP-k-means,0.9986666666666666,0.002666666666666684,10,,,DP-GB wins
Synthetic Blobs,0.5,DP-Logistic,0.9446666666666665,0.01910206504252589,10,,,DP-GB wins
Synthetic Blobs,0.5,DP-Naive Bayes,0.9933333333333334,0.006666666666666665,10,,,DP-GB wins
Synthetic Blobs,0.5,DP-kNN (k=5),0.4646666666666667,0.03266666666666667,10,,,DP-GB wins
Synthetic Blobs,1.0,Non-private GB,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,1.0,DP-GB One-Ball,1.0,0.0,10,,0.0010523796081542969,DP-GB wins
Synthetic Blobs,1.0,DP-GB Multi-Ball,0.9986666666666666,0.002666666666666684,10,,,DP-GB wins
Synthetic Blobs,1.0,DP-k-means,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,1.0,DP-Logistic,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,1.0,DP-Naive Bayes,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,1.0,DP-kNN (k=5),0.5680000000000001,0.0537318444789597,10,,,DP-GB wins
Synthetic Blobs,2.0,Non-private GB,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,2.0,DP-GB One-Ball,1.0,0.0,10,,0.0010523796081542969,DP-GB wins
Synthetic Blobs,2.0,DP-GB Multi-Ball,0.998,0.004268749491621897,10,,,DP-GB wins
Synthetic Blobs,2.0,DP-k-means,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,2.0,DP-Logistic,0.434,0.026068286394689538,10,,,DP-GB wins
Synthetic Blobs,2.0,DP-Naive Bayes,1.0,0.0,10,,,DP-GB wins
Synthetic Blobs,2.0,DP-kNN (k=5),0.796,0.04002221605280969,10,,,DP-GB wins
Digits,0.1,Non-private GB,0.9014814814814814,0.010203686899226584,10,,,DP-GB wins
Digits,0.1,DP-GB One-Ball,0.10555555555555556,0.03271022543084388,10,,0.0028831958770751953,DP-GB wins
Digits,0.1,DP-GB Multi-Ball,0.1012962962962963,0.018201923352146637,10,,,DP-GB wins
Digits,0.1,DP-k-means,0.21037037037037037,0.05348743169936502,10,,,DP-GB wins
Digits,0.1,DP-Logistic,0.07870370370370369,0.008040108646700893,10,,,DP-GB wins
Digits,0.1,DP-Naive Bayes,0.09148148148148147,0.032087842395985895,10,,,DP-GB wins
Digits,0.1,DP-kNN (k=5),0.10462962962962963,0.011025907886373473,10,,,DP-GB wins
